[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 3500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 0900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1600 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1700 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1800 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 1900 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2000 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2100 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2200 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2300 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2400 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
[Scenario: Platoon] | Step: 2500 | Avg Queue: 0.0 | Deadlocks Detected: 0 | Teleports: 0
